date,transect,species,replicate,leaf_number,curling_mm,thickness_mm,mass_g,species_cleaned
2021-10-30,1,QUDO_709,1,1,5,0.3,0.08,QUDO
2021-10-30,1,QUDO_709,1,2,6,0.27,0.1,QUDO
2021-10-30,1,QUDO_709,1,3,7,0.29,0.09,QUDO
2021-10-30,1,QUDO_709,1,4,3,0.29,0.04,QUDO
2021-10-30,1,QUDO_709,1,5,4,0.27,0.04,QUDO
2021-10-30,1,QUDO_714,2,1,8,0.45,0.12,QUDO
2021-10-30,1,QUDO_714,2,2,1,0.27,0.09,QUDO
2021-10-30,1,QUDO_714,2,3,2,0.35,0.08,QUDO
2021-10-30,1,QUDO_714,2,4,5,0.32,0.18,QUDO
2021-10-30,1,QUDO_714,2,5,7,0.3,0.16,QUDO
2021-10-30,1,QUDO_715,3,1,3,0.31,0.15,QUDO
2021-10-30,1,QUDO_715,3,2,5,0.36,0.19,QUDO
2021-10-30,1,QUDO_715,3,3,8,0.39,0.17,QUDO
2021-10-30,1,QUDO_715,3,4,4,0.43,0.15,QUDO
2021-10-30,1,QUDO_715,3,5,4,0.32,0.11,QUDO
2021-10-30,1,QUDO_717,4,1,5,0.3,0.11,QUDO
2021-10-30,1,QUDO_717,4,2,3,0.26,0.07,QUDO
2021-10-30,1,QUDO_717,4,3,4,0.33,0.16,QUDO
2021-10-30,1,QUDO_717,4,4,8,0.34,0.14,QUDO
2021-10-30,1,QUDO_717,4,5,3,0.32,0.09,QUDO
2021-10-30,1,QUDO_718,5,1,7,0.27,0.08,QUDO
2021-10-30,1,QUDO_718,5,2,8,0.38,0.13,QUDO
2021-10-30,1,QUDO_718,5,3,7,0.31,0.09,QUDO
2021-10-30,1,QUDO_718,5,4,5,0.26,0.1,QUDO
2021-10-30,1,QUDO_718,5,5,6,0.27,0.1,QUDO
2021-10-30,1,ARTCAL,1,1,0,0.46,NA,ARTCAL
2021-10-30,1,ARTCAL,1,2,0,0.36,NA,ARTCAL
2021-10-30,1,ARTCAL,1,3,0,0.34,NA,ARTCAL
2021-10-30,1,ARTCAL,1,4,0,0.38,NA,ARTCAL
2021-10-30,1,ARTCAL,1,5,0,0.34,NA,ARTCAL
2021-10-30,1,ARTCAL,2,1,0,0.34,NA,ARTCAL
2021-10-30,1,ARTCAL,2,2,0,0.25,NA,ARTCAL
2021-10-30,1,ARTCAL,2,3,0,0.31,NA,ARTCAL
2021-10-30,1,ARTCAL,2,4,0,0.26,NA,ARTCAL
2021-10-30,1,ARTCAL,2,5,0,0.26,NA,ARTCAL
2021-10-30,1,ARTCAL,3,1,0,0.47,NA,ARTCAL
2021-10-30,1,ARTCAL,3,2,0,0.42,NA,ARTCAL
2021-10-30,1,ARTCAL,3,3,0,0.38,NA,ARTCAL
2021-10-30,1,ARTCAL,3,4,0,0.38,NA,ARTCAL
2021-10-30,1,ARTCAL,3,5,0,0.42,NA,ARTCAL
2021-10-30,1,ARTCAL,4,1,0,0.3,NA,ARTCAL
2021-10-30,1,ARTCAL,4,2,0,0.31,NA,ARTCAL
2021-10-30,1,ARTCAL,4,3,0,0.33,NA,ARTCAL
2021-10-30,1,ARTCAL,4,4,0,0.42,NA,ARTCAL
2021-10-30,1,ARTCAL,4,5,0,0.35,NA,ARTCAL
2021-10-30,1,ARTCAL,5,1,0,0.37,NA,ARTCAL
2021-10-30,1,ARTCAL,5,2,0,0.37,NA,ARTCAL
2021-10-30,1,ARTCAL,5,3,0,0.39,NA,ARTCAL
2021-10-30,1,ARTCAL,5,4,0,0.34,NA,ARTCAL
2021-10-30,1,ARTCAL,5,5,0,0.41,NA,ARTCAL
2021-11-02,4,CEBE,1,1,6,0.32,NA,CEBE
2021-11-02,4,CEBE,1,2,3,0.28,NA,CEBE
2021-11-02,4,CEBE,1,3,5,0.29,NA,CEBE
2021-11-02,4,CEBE,1,4,7,0.35,NA,CEBE
2021-11-02,4,CEBE,1,5,6,0.23,NA,CEBE
2021-11-02,4,CEBE,2,1,4,0.28,NA,CEBE
2021-11-02,4,CEBE,2,2,4,0.25,NA,CEBE
2021-11-02,4,CEBE,2,3,5,0.25,NA,CEBE
2021-11-02,4,CEBE,2,4,5,0.31,NA,CEBE
2021-11-02,4,CEBE,2,5,5,0.24,NA,CEBE
2021-11-02,4,CEBE,3,1,5,0.23,NA,CEBE
2021-11-02,4,CEBE,3,2,6,0.25,NA,CEBE
2021-11-02,4,CEBE,3,3,3,0.26,NA,CEBE
2021-11-02,4,CEBE,3,4,7,0.22,NA,CEBE
2021-11-02,4,CEBE,3,5,9,0.18,NA,CEBE
2021-11-02,4,CEBE,4,1,9,0.31,NA,CEBE
2021-11-02,4,CEBE,4,2,8,0.29,NA,CEBE
2021-11-02,4,CEBE,4,3,5,0.28,NA,CEBE
2021-11-02,4,CEBE,4,4,10,0.33,NA,CEBE
2021-11-02,4,CEBE,4,5,4,0.25,NA,CEBE
2021-11-02,4,CEBE,5,1,5,0.3,NA,CEBE
2021-11-02,4,CEBE,5,2,5,0.27,NA,CEBE
2021-11-02,4,CEBE,5,3,6,0.27,NA,CEBE
2021-11-02,4,CEBE,5,4,5,0.29,NA,CEBE
2021-11-02,4,CEBE,5,5,3,0.28,NA,CEBE
2021-11-02,4,ARTCAL,1,1,7,0.37,NA,ARTCAL
2021-11-02,4,ARTCAL,1,2,0,0.23,NA,ARTCAL
2021-11-02,4,ARTCAL,1,3,1,0.34,NA,ARTCAL
2021-11-02,4,ARTCAL,1,4,0,0.27,NA,ARTCAL
2021-11-02,4,ARTCAL,1,5,4,0.34,NA,ARTCAL
2021-11-02,4,ARTCAL,2,1,1,0.3,NA,ARTCAL
2021-11-02,4,ARTCAL,2,2,1,0.28,NA,ARTCAL
2021-11-02,4,ARTCAL,2,3,0,0.35,NA,ARTCAL
2021-11-02,4,ARTCAL,2,4,0,0.38,NA,ARTCAL
2021-11-02,4,ARTCAL,2,5,1,0.39,NA,ARTCAL
2021-11-02,4,ARTCAL,3,1,0,0.41,NA,ARTCAL
2021-11-02,4,ARTCAL,3,2,0,0.43,NA,ARTCAL
2021-11-02,4,ARTCAL,3,3,0,0.39,NA,ARTCAL
2021-11-02,4,ARTCAL,3,4,0,0.42,NA,ARTCAL
2021-11-02,4,ARTCAL,3,5,0,0.44,NA,ARTCAL
2021-11-02,4,ARTCAL,4,1,3,0.4,NA,ARTCAL
2021-11-02,4,ARTCAL,4,2,2,0.36,NA,ARTCAL
2021-11-02,4,ARTCAL,4,3,6,0.45,NA,ARTCAL
2021-11-02,4,ARTCAL,4,4,7,0.38,NA,ARTCAL
2021-11-02,4,ARTCAL,4,5,4,0.38,NA,ARTCAL
2021-11-02,4,ARTCAL,5,1,0,0.47,NA,ARTCAL
2021-11-02,4,ARTCAL,5,2,7,0.5,NA,ARTCAL
2021-11-02,4,ARTCAL,5,3,1,0.44,NA,ARTCAL
2021-11-02,4,ARTCAL,5,4,1,0.45,NA,ARTCAL
2021-11-02,4,ARTCAL,5,5,1,0.45,NA,ARTCAL
2021-11-02,4,HEAR_799,1,1,8,0.53,0.48,HEAR
2021-11-02,4,HEAR_799,1,2,6,0.46,0.29,HEAR
2021-11-02,4,HEAR_799,1,3,13,0.51,0.36,HEAR
2021-11-02,4,HEAR_799,1,4,6,0.48,0.43,HEAR
2021-11-02,4,HEAR_799,1,5,6,0.43,0.38,HEAR
2021-11-02,4,HEAR_NA,2,1,4,0.48,0.24,HEARNA
2021-11-02,4,HEAR_NA,2,2,6,0.44,0.19,HEARNA
2021-11-02,4,HEAR_NA,2,3,6,0.47,0.24,HEARNA
