Date,Transect,Species,Replicate,Leaf_Number,Curling_(mm),Thickness_(mm),Mass_(g)
20211030,1,QUDO_709,1,1,5,0.3,0.08
20211030,1,QUDO_709,1,2,6,0.27,0.1
20211030,1,QUDO_709,1,3,7,0.29,0.09
20211030,1,QUDO_709,1,4,3,0.29,0.04
20211030,1,QUDO_709,1,5,4,0.27,0.04
20211030,1,QUDO_714,2,1,8,0.45,0.12
20211030,1,QUDO_714,2,2,1,0.27,0.09
20211030,1,QUDO_714,2,3,2,0.35,0.08
20211030,1,QUDO_714,2,4,5,0.32,0.18
20211030,1,QUDO_714,2,5,7,0.3,0.16
20211030,1,QUDO_715,3,1,3,0.31,0.15
20211030,1,QUDO_715,3,2,5,0.36,0.19
20211030,1,QUDO_715,3,3,8,0.39,0.17
20211030,1,QUDO_715,3,4,4,0.43,0.15
20211030,1,QUDO_715,3,5,4,0.32,0.11
20211030,1,QUDO_717,4,1,5,0.3,0.11
20211030,1,QUDO_717,4,2,3,0.26,0.07
20211030,1,QUDO_717,4,3,4,0.33,0.16
20211030,1,QUDO_717,4,4,8,0.34,0.14
20211030,1,QUDO_717,4,5,3,0.32,0.09
20211030,1,QUDO_718,5,1,7,0.27,0.08
20211030,1,QUDO_718,5,2,8,0.38,0.13
20211030,1,QUDO_718,5,3,7,0.31,0.09
20211030,1,QUDO_718,5,4,5,0.26,0.1
20211030,1,QUDO_718,5,5,6,0.27,0.1
20211030,1,ARTCAL,1,1,0,0.46,
20211030,1,ARTCAL,1,2,0,0.36,
20211030,1,ARTCAL,1,3,0,0.34,
20211030,1,ARTCAL,1,4,0,0.38,
20211030,1,ARTCAL,1,5,0,0.34,
20211030,1,ARTCAL,2,1,0,0.34,
20211030,1,ARTCAL,2,2,0,0.25,
20211030,1,ARTCAL,2,3,0,0.31,
20211030,1,ARTCAL,2,4,0,0.26,
20211030,1,ARTCAL,2,5,0,0.26,
20211030,1,ARTCAL,3,1,0,0.47,
20211030,1,ARTCAL,3,2,0,0.42,
20211030,1,ARTCAL,3,3,0,0.38,
20211030,1,ARTCAL,3,4,0,0.38,
20211030,1,ARTCAL,3,5,0,0.42,
20211030,1,ARTCAL,4,1,0,0.3,
20211030,1,ARTCAL,4,2,0,0.31,
20211030,1,ARTCAL,4,3,0,0.33,
20211030,1,ARTCAL,4,4,0,0.42,
20211030,1,ARTCAL,4,5,0,0.35,
20211030,1,ARTCAL,5,1,0,0.37,
20211030,1,ARTCAL,5,2,0,0.37,
20211030,1,ARTCAL,5,3,0,0.39,
20211030,1,ARTCAL,5,4,0,0.34,
20211030,1,ARTCAL,5,5,0,0.41,
20211102,4,CEBE,1,1,6,0.32,
20211102,4,CEBE,1,2,3,0.28,
20211102,4,CEBE,1,3,5,0.29,
20211102,4,CEBE,1,4,7,0.35,
20211102,4,CEBE,1,5,6,0.23,
20211102,4,CEBE,2,1,4,0.28,
20211102,4,CEBE,2,2,4,0.25,
20211102,4,CEBE,2,3,5,0.25,
20211102,4,CEBE,2,4,5,0.31,
20211102,4,CEBE,2,5,5,0.24,
20211102,4,CEBE,3,1,5,0.23,
20211102,4,CEBE,3,2,6,0.25,
20211102,4,CEBE,3,3,3,0.26,
